avg_rating,median_rating,rating_std,num_ratings,rating_distribution,vader_compound_mean,vader_compound_std,vader_positive_mean,vader_negative_mean,vader_neutral_mean,textblob_polarity_mean,textblob_polarity_std,num_reviews_with_text,title,rotten_tomatoes_slug
2.675,2.5,1.606821396422141,20,"{""5.0"": 4, ""0.5"": 4, ""3.0"": 2, ""2.5"": 4, ""3.5"": 2, ""1.0"": 2, ""2.0"": 1, ""4.5"": 1}",0.215115,0.6220753734677174,0.17495,0.08545000000000001,0.7395999999999999,0.0712653627858601,0.2845106006768047,20,Gunpowder Milkshake,gunpowder_milkshake
2.625,3.0,1.2234684303242156,20,"{""1.5"": 2, ""3.5"": 3, ""1.0"": 1, ""5.0"": 2, ""3.0"": 7, ""2.0"": 3, ""0.5"": 2}",0.166435,0.6016525901839034,0.18969999999999998,0.10145,0.7089,0.08593402777777777,0.28158545621654774,20,The Water Man,the_water_man
3.9,5.0,1.4713938969562161,20,"{""1.5"": 1, ""5.0"": 12, ""1.0"": 2, ""3.0"": 3, ""2.0"": 1, ""3.5"": 1}",0.3811550000000001,0.6042547173791861,0.21935,0.10539999999999998,0.6752,0.29104942980156484,0.2789102408387219,20,Twilight,twilight
3.375,3.5,1.2336429791475327,20,"{""3.0"": 2, ""5.0"": 4, ""1.5"": 1, ""2.0"": 2, ""3.5"": 4, ""0.5"": 1, ""4.0"": 3, ""4.5"": 1, ""2.5"": 2}",0.359125,0.5155234232069383,0.21200000000000002,0.05720000000000001,0.73085,0.22527728758169935,0.2999963027781278,20,Rust Creek,rust_creek
2.6,3.0,1.6552945357246847,20,"{""0.5"": 4, ""3.5"": 3, ""4.5"": 3, ""1.0"": 3, ""1.5"": 2, ""3.0"": 2, ""4.0"": 1, ""5.0"": 2}",0.145755,0.5201776508799663,0.1277,0.13035000000000002,0.742,0.05516895670020672,0.31161138722536763,20,Trollhunters: Rise of the Titans,trollhunters_rise_of_the_titans
3.8,4.0,1.1874342087037917,20,"{""2.0"": 3, ""5.0"": 8, ""4.0"": 3, ""3.0"": 2, ""2.5"": 3, ""4.5"": 1}",0.50637,0.654042198256351,0.30945,0.09885000000000001,0.5917,0.28509081832519334,0.29376225885459734,20,The Last Letter From Your Lover,the_last_letter_from_your_lover
3.675,4.5,1.6068213964221414,20,"{""5.0"": 10, ""3.0"": 2, ""0.5"": 2, ""4.0"": 2, ""3.5"": 1, ""2.0"": 2, ""1.0"": 1}",0.25431499999999996,0.5548298336201831,0.1885,0.07720000000000002,0.7341500000000001,0.214628102326966,0.39351840754804823,20,The Twilight Saga: New Moon,twilight_saga_new_moon
4.3,5.0,1.307669683062202,20,"{""2.0"": 1, ""2.5"": 2, ""5.0"": 15, ""0.5"": 1, ""3.5"": 1}",0.5512500000000001,0.46972654119178747,0.31055,0.06795,0.6216,0.4084230944113756,0.3367296321419059,20,The Twilight Saga: Breaking Dawn: Part 2,the_twilight_saga_breaking_dawn_part_2
3.625,3.75,1.3681648292512127,20,"{""2.5"": 3, ""5.0"": 7, ""4.0"": 2, ""3.5"": 4, ""2.0"": 1, ""0.5"": 1, ""4.5"": 1, ""1.0"": 1}",0.47620500000000004,0.38394990229846393,0.15065,0.05789999999999999,0.7914,0.27006406408992323,0.2225227382692466,20,The Twilight Saga: Eclipse,1210749-eclipse
3.4,4.5,1.8069310999592652,20,"{""2.0"": 2, ""5.0"": 10, ""0.5"": 3, ""3.5"": 1, ""1.5"": 1, ""1.0"": 1, ""2.5"": 1, ""4.0"": 1}",0.17910500000000001,0.6444787959855622,0.2217,0.09765000000000001,0.68065,0.16553977761764646,0.2991581370708878,20,The Twilight Saga: Breaking Dawn: Part 1,the_twilight_saga_breaking_dawn_part_1
