week,hours_viewed_sum,hours_viewed_mean,hours_viewed_std,hours_viewed_min,hours_viewed_max,weeks_in_top10_mean,ranking_nunique,avg_rating_mean,rating_std_mean,num_ratings_sum,vader_compound_mean_mean,vader_positive_mean_mean,vader_negative_mean_mean,textblob_polarity_mean_mean,num_reviews_with_text_sum,total_hours_next_week,hours_pct_change,engagement_decline,year,month,week_of_year,hours_lag_1,sentiment_lag_1,hours_lag_2,sentiment_lag_2,hours_lag_3,sentiment_lag_3,hours_lag_4,sentiment_lag_4,hours_ma_4week,sentiment_ma_4week
2021-10-10,137530000,13753000.0,10910392.650027668,6830000,42280000,3.0,10,3.3191830065359476,1.4940391610219088,186,0.22813382352941175,0.19505823529411764,0.09522411764705882,0.17485027193582128,197,85890000.0,-0.3754817130807824,1,2021,10,40,160980000.0,0.254774,122310000.0,0.3147115555555556,144760000.0,0.34756472222222223,133420000.0,0.2899645,141395000.0,0.2862960253267974
2021-10-17,85890000,8589000.0,4810475.721450703,4770000,20410000,3.1,10,3.365294117647059,1.2752025343083802,197,0.3544733235294118,0.22966823529411765,0.08127411764705882,0.22534928700526996,197,79640000.0,-0.07276749330539062,0,2021,10,41,137530000.0,0.22813382352941175,160980000.0,0.254774,122310000.0,0.3147115555555556,144760000.0,0.34756472222222223,126677500.0,0.2880231756535948
2021-10-24,79640000,7964000.0,8529445.98956397,3430000,31870000,3.5,10,3.4025,1.252335746926494,200,0.3626995,0.22853500000000002,0.07944,0.1966392296583186,200,137850000.0,0.7309141135107986,0,2021,10,42,85890000.0,0.3544733235294118,137530000.0,0.22813382352941175,160980000.0,0.254774,122310000.0,0.3147115555555556,116010000.0,0.3000201617647059
2021-10-31,137850000,13785000.0,14123801.227400191,4190000,49640000,2.5,10,3.3299999999999996,1.224631862984433,200,0.318451,0.212825,0.099075,0.15892170530866112,200,248250000.0,0.8008705114254625,0,2021,10,43,79640000.0,0.3626995,85890000.0,0.3544733235294118,137530000.0,0.22813382352941175,160980000.0,0.254774,110227500.0,0.31593941176470586
2021-11-07,248250000,24825000.0,25023803.445697237,5740000,71610000,2.6,10,3.275,1.355484928250389,184,0.40873799999999993,0.22981,0.083565,0.17865242720053714,184,311370000.0,0.2542598187311178,0,2021,11,44,137850000.0,0.318451,79640000.0,0.3626995,85890000.0,0.3544733235294118,137530000.0,0.22813382352941175,137907500.0,0.36109045588235295
2021-11-14,311370000,31137000.0,44506564.3223309,6760000,148720000,3.7,10,3.0675,1.3076707882406455,181,0.308685,0.212535,0.101485,0.12815382650511226,200,255070000.0,-0.180813822783184,1,2021,11,45,248250000.0,0.40873799999999993,137850000.0,0.318451,79640000.0,0.3626995,85890000.0,0.3544733235294118,194277500.0,0.349643375
2021-11-21,255070000,25507000.0,36806768.716274634,7680000,129110000,5.2,10,3.3024999999999998,1.3929018274116247,200,0.4418755,0.24252,0.07345499999999999,0.20686440022956912,200,226440000.0,-0.11224369780844475,1,2021,11,46,311370000.0,0.308685,248250000.0,0.40873799999999993,137850000.0,0.318451,79640000.0,0.3626995,238135000.0,0.36943737499999996
2021-11-28,226440000,22644000.0,14842231.937578961,9780000,50650000,5.2,10,3.2600000000000002,1.4233873305344242,200,0.4380085,0.239075,0.07429500000000001,0.18549105915640413,200,169840000.0,-0.24995583819113232,1,2021,11,47,255070000.0,0.4418755,311370000.0,0.308685,248250000.0,0.40873799999999993,137850000.0,0.318451,260282500.0,0.39932674999999995
2021-12-05,169840000,16984000.0,8092884.66631165,7240000,27200000,4.7,10,3.4325,1.3932714155014123,200,0.48865949999999997,0.24905499999999997,0.07206,0.1988430546721726,200,192530000.0,0.1335963259538389,0,2021,12,48,226440000.0,0.4380085,255070000.0,0.4418755,311370000.0,0.308685,248250000.0,0.40873799999999993,240680000.0,0.419307125
2021-12-12,192530000,19253000.0,23609641.6510054,8510000,85860000,5.0,10,3.3225000000000002,1.465766620695222,200,0.377435,0.22744,0.09357499999999999,0.15687216800912132,200,202430000.0,0.05142055783514257,0,2021,12,49,169840000.0,0.48865949999999997,226440000.0,0.4380085,255070000.0,0.4418755,311370000.0,0.308685,210970000.0,0.43649462499999997
