week,title,ranking,weeks_in_top10,hours_viewed,avg_rating,median_rating,rating_std,num_ratings,rating_distribution,vader_compound_mean,vader_compound_std,vader_positive_mean,vader_negative_mean,vader_neutral_mean,textblob_polarity_mean,textblob_polarity_std,num_reviews_with_text,rotten_tomatoes_slug
2021-07-04,Fatherhood,1,3,25680000,3.8,4.0,1.3820274961085253,20,"{""5.0"": 7, ""4.0"": 5, ""3.5"": 4, ""0.5"": 2, ""1.5"": 1, ""4.5"": 1}",0.620775,0.47384473709750113,0.29565,0.05230000000000001,0.65215,0.23206614051153523,0.12856446916330994,20,fatherhood_2021
2021-07-04,Fear Street Part 1: 1994,2,5,16620000,3.55,3.5,0.9205976319760986,20,"{""5.0"": 3, ""2.0"": 2, ""4.5"": 1, ""4.0"": 5, ""3.5"": 4, ""2.5"": 3, ""3.0"": 2}",0.360755,0.5524624290166708,0.2366,0.08349999999999999,0.6799499999999998,0.16795436507936506,0.3489143860256663,20,fear_street_part_one_1994
2021-07-04,Wish Dragon,3,5,15260000,3.85,4.0,1.0380269746013349,20,"{""2.5"": 1, ""4.5"": 3, ""5.0"": 4, ""4.0"": 6, ""3.5"": 3, ""0.5"": 1, ""3.0"": 2}",0.6663250000000001,0.311142367534542,0.32985000000000003,0.030500000000000006,0.6396999999999999,0.3162770403615992,0.256195044700468,20,wish_dragon
2021-07-04,The Ice Road,4,2,13690000,2.575,2.5,1.5594470173750696,20,"{""4.0"": 3, ""1.5"": 2, ""3.5"": 2, ""5.0"": 3, ""0.5"": 3, ""1.0"": 3, ""2.0"": 1, ""3.0"": 1, ""2.5"": 2}",0.30345999999999995,0.6800847950072109,0.20059999999999997,0.14245000000000002,0.65695,0.10008596576000033,0.3098514869805923,20,the_ice_road
2021-07-04,Good on Paper,5,1,10580000,2.725,2.75,1.4359230480774379,20,"{""0.5"": 3, ""4.5"": 2, ""2.0"": 5, ""3.0"": 3, ""5.0"": 2, ""4.0"": 2, ""1.0"": 1, ""3.5"": 1, ""2.5"": 1}",0.22627999999999998,0.5542226507460698,0.18725,0.10980000000000001,0.7029500000000001,0.12170196492575525,0.3670239705817014,20,good_on_paper
2021-07-04,Kung Fu Panda 3,6,3,7690000,3.4,3.5,1.2509996003196806,20,"{""4.5"": 2, ""5.0"": 3, ""4.0"": 4, ""3.0"": 6, ""0.5"": 2, ""2.0"": 1, ""3.5"": 2}",0.15665,0.5765047991994516,0.16475,0.08954999999999999,0.74575,0.17458110101569407,0.18385827151141396,20,kung_fu_panda_3
2021-07-04,Warcraft,7,3,7650000,3.675,4.0,1.4254385290148432,20,"{""5.0"": 8, ""1.0"": 1, ""4.5"": 2, ""3.0"": 2, ""2.0"": 2, ""3.5"": 3, ""0.5"": 1, ""2.5"": 1}",0.316015,0.5863950121505127,0.1774,0.0906,0.7319,0.13568601190476193,0.3095375413696157,20,warcraft
2021-07-04,Fatale,8,3,6460000,1.8,1.5,1.2186057606953942,20,"{""0.5"": 6, ""2.5"": 1, ""1.0"": 4, ""3.5"": 3, ""2.0"": 3, ""4.0"": 1, ""3.0"": 2}",0.059465000000000004,0.6967095458474787,0.1537,0.14045,0.70585,0.11190131115577547,0.2101097786859134,20,fatale
2021-07-04,Skylines,9,1,6130000,2.8529411764705883,2.5,1.0539101686569952,17,"{""5.0"": 2, ""2.0"": 3, ""2.5"": 5, ""0.5"": 1, ""3.5"": 3, ""3.0"": 3}",0.3971117647058824,0.4217819898009103,0.17888235294117646,0.0715294117647059,0.7495882352941177,0.12584838042074886,0.18761763605457066,17,skylines
2021-07-04,The Mitchells vs. The Machines,10,1,4890000,4.35,5.0,1.2951833846988619,20,"{""5.0"": 13, ""4.5"": 3, ""1.0"": 1, ""3.0"": 1, ""0.5"": 1, ""4.0"": 1}",0.572495,0.4370173377281501,0.2892,0.0694,0.6412999999999999,0.34204184704184704,0.4144843362083725,20,the_mitchells_vs_the_machines
